# Fused multiply-add sites in MWCC game code (port/tools/fma_scan.py objs).
# file:line function kind count
melee/cm/camera.c:2596 Camera_8002D318 fmadds 1
melee/cm/camera.c:2601 Camera_8002D318 fmadds 4
melee/cm/camera.c:2615 Camera_8002D318 fmadds 1
melee/cm/camera.c:2616 Camera_8002D318 fmadds 1
melee/cm/camera.c:2650 Camera_8002D85C fmadds 3
melee/cm/camera.c:2666 Camera_8002D85C fmadds 1
melee/cm/camera.c:2701 Camera_8002D85C fmadds 1
melee/cm/camera.c:2704 Camera_8002D85C fmadds 1
melee/cm/camera.c:2709 Camera_8002D85C fmadds 4
melee/cm/camera.c:2723 Camera_8002D85C fmadds 1
melee/cm/camera.c:2724 Camera_8002D85C fmadds 1
melee/cm/camera.c:2780 Camera_8002DDC4 fmadds 3
melee/cm/camera.c:2790 Camera_8002DDC4 fmadds 3
melee/cm/camera.c:2796 Camera_8002DDC4 fmadds 1
melee/cm/camera.c:2799 Camera_8002DDC4 fmadds 1
melee/cm/camera.c:2808 Camera_8002DDC4 fmadds 3
melee/cm/camera.c:2818 Camera_8002DDC4 fmadds 3
melee/cm/camera.c:2909 Camera_8002E158 fmadds 1
melee/cm/camera.c:3048 Camera_8002E490 fmadds 1
melee/cm/camera.c:3633 Camera_8002F7AC fmsub 1
melee/cm/camera.c:3639 Camera_8002F7AC fmsub 1
melee/cm/camera.c:3640 Camera_8002F7AC fmsub 1
melee/cm/camera.c:3696 Camera_8002F9E4 fmadds 1
melee/cm/camera.c:3778 Camera_8002FC7C fmadds 1
melee/cm/camera.c:4174 Camera_800307D0 fnmsubs 1
melee/cm/camera.c:4182 Camera_800307D0 fmadds 1
melee/cm/camera.c:4182 Camera_800307D0 fmsubs 1
melee/cm/camera.c:4185 Camera_800307D0 fnmsubs 1
melee/cm/camera.c:4194 Camera_800307D0 fmadds 1
melee/cm/camera.c:4194 Camera_800307D0 fmsubs 1
melee/cm/camera.c:4197 Camera_800307D0 fnmsubs 1
melee/db/dbcamera.c:471 fn_80227CAC fnmsubs 1
melee/db/dbcamera.c:492 fn_80227D38 fnmsubs 1
melee/db/dbcamera.c:507 fn_80227D38 fnmsubs 1
melee/ef/efasync.c:107 efAsync_Dispatch fmadds 1
melee/ef/efasync.c:577 efAsync_Dispatch fmadds 1
melee/ft/fighter.c:242 Fighter_UnkInitReset_80067C98 fmadds 1
melee/ft/fighter.c:2201 Fighter_procUpdate fmadds 1
melee/ft/fighter.c:2201 Fighter_procUpdate fnmsub 3
